INPUT:input	OUTPUT:answer	OUTPUT:Jan_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_Angry	OUTPUT:kendall_feel	OUTPUT:answer_in_love	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	GOLDEN:answer	GOLDEN:Jan_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_Angry	GOLDEN:kendall_feel	GOLDEN:answer_in_love	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
test	in_love	Being loved	Love makes everything in life positive and good		He is not ready to be separated from her for a second.	He is ready to share eternity with her				talk_to_Jan	Yes		Yes	Yes		eu.82d6615d-fd10-44a9-8140-d91824f0e1ed	Next to the woman he loves, he feels happy		He wants to take care of his soul mate	One presence in the life of a loved one makes his life complete																								https://platform.toloka.ai/task/39728371/00025e34f3--648f545fce8f6852fb6911b1	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f545fce8f6852fb6911b1	bfde68810d26c51f58a56f70d6910b8b	APPROVED	2023-06-18T19:00:47.234	+	
																																																			
test	in_love	Being loved	Totally Correct as Feeling in Love means being intimate and overwhelmed which’s exactly as the AI explained		Couldn’t agree more as Kendall willing to have a conversation with Jan about the upcoming dance date.	Totally correct as he showed love by making her warm				talk_to_Jan	Yes		Yes	Yes		eu.60614351-cd91-4c61-b913-6aed1bafbccc	Jan expressed her genuine feelings and love for Kendall which’s gonna make him overwhelmed and obsessed to make this relationship work.		Because he was thinking of the upcoming dance with her so logically he would want to talk to her.	Because he took good care of her while sleeping and showed intimacy.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f54921da0c520ee516842	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f54921da0c520ee516842	90fa8725edfce14d58f95631cd7b40b4	APPROVED	2023-06-18T19:01:38.162	+	
																																																			
test	in_love	Being loved	I agree. We feel positive emotions, love and care.		I agree. His thoughts indicate a desire to speak with Jan. 	His actions are quite natural for a loving person.				talk_to_Jan	Yes		Yes	no		eu.1f55fd44-6971-4c93-a221-af6213f3d180	Because it is obvious that he is in love, he and she are in love.They take care of each other, speak very kindly. The situation is romantic.		Because there is connection between the previous dialogue and cleaning the house.	Of course she will feel loved and taken care of.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f54946363e5730cc53420	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f54946363e5730cc53420	64ee489e93fed73f1fd88c44a8ee8bfe	APPROVED	2023-06-18T19:01:40.846	+	
																																																			
test	in_love	Being loved	She shows love towards a friend called Jan.		She is interested in knowing about who is going to the dance with Jan.	Kendall is concerned whether Jan is well and warm.				talk_to_Jan	Yes		Yes	Yes		eu.696ad691-e837-48e9-bb97-b265e92e9043	Kendall shows a strong romantic bond towards Jan.		She want's to know about the upcoming dance.	The concern Kendall shows towards him is a feeling of love.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f54a730a157283b8f781c	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f54a730a157283b8f781c	f66fab3f4844460495ad2fc206363540	APPROVED	2023-06-18T19:01:59.151	+	
																																																			
test	in_love	Being loved	I totally agree with AI rationale. I don't see why I should choose 'angry'. It's not logical.		I agree with AI's rationale.Our previous choice determined the next choice. We are interested in the development of character's relations.	I fully agree with AI rationale.				talk_to_Jan	Yes		Yes	Yes		eu.a7420755-f15e-4ae9-9ec1-c10246fa85f4	Because I want to start reading with positive emotions.		"In my opinion, it would be inappropriate to choose the option ""clean her home"" because Kendall was  looking forward to the dance."	I chose Being loved because I started to choose love history development from the begining.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f55261b85d236d904cc67	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f55261b85d236d904cc67	cd183e9eb538d3c9e23db7a682d994b5	APPROVED	2023-06-18T19:04:06.883	+	
																																																			
test	in_love	Being loved	Ai thinks they are in love for their connection. 		Ai thinking kendalls thoughts indictes a desire to have jan with dance.	Ai thinks feeling loved all the time and their intentions lead them to engagement. 				talk_to_Jan	Yes		Yes	Yes		eu.6401b32e-d267-483a-8013-9b8a88ae9a58	They.both were in good bonding, kendall felt it was the best feeling for him from her.		Takking to jan expresses the priority and love.	Being loved in theat time feeling good to them.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5652245d52430e6957a6	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5652245d52430e6957a6	361cb936a41a7d8f91ef5e69cf57ad09	APPROVED	2023-06-18T19:09:06.077	+	
																																																			
test	in_love	Being loved	Kendall and Jan didn't disagree at any point, instead they kept portraying their affection for each other.		There is clearly no indication between Kendall's thoughts and cleaning their home 	Kendall really loved Jan and didn't want her to feel cold.				talk_to_Jan	Yes		Yes	Yes		eu.a6fc3d1f-d4ad-4bbf-ac43-df470dc61fc2	Jan has never connected with anyone the way she has done with Kendall 		Kendall wanted to know if Jan knew the date for the the upcoming dance event.	Kendall wanted to make sure she stayed warm.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f58f008b5135b66fb7b00	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f58f008b5135b66fb7b00	1ec97196bc0c4ecb041da8968c5ca802	APPROVED	2023-06-18T19:20:16.422	+	
																																																			
test	in_love	Being loved	They feel good together and wish to be a couple.		They want to be life partners thats why.	Yes because its true love between them.				talk_to_Jan	Yes		Yes	Yes		eu.04cab450-c944-4348-98d3-88ef883c0552	Because they share the same feeling about eachother.love		Because he wanted to invite her to the dance.	Because she was taken care of as a sign of love.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f590880e07a75fd8787a4	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f590880e07a75fd8787a4	1de9319d8543f4d007074453a8047d8a	APPROVED	2023-06-18T19:20:40.879	+	
																																																			
test	Angry		very polar options were chosen, it was possible to take a feeling of mixed feelings or misunderstanding of the situation	strange choices for action - you need to be simpler				Jan_home			no	no				eu.268c658f-e73e-4c55-a637-474a517fad12	Because he should be jealous	I didn't understand what the hospital had to do with it																										https://platform.toloka.ai/task/39728371/00025e34f3--648f5ba280636234aab92cad	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5ba280636234aab92cad	9a75226f7d12d7d900bcafe3b65de1e7	APPROVED	2023-06-18T19:31:46.618	+	
																																																			
test	in_love	Being loved	It will not meet how the real person's emotion		Meet the usual instinct of a person	AS Jab was happy and felt love				talk_to_Jan	Yes		Yes	no		eu.77d7a352-6619-45bb-957a-6e69af89a0e8	Because of the care of the character		Beacause of the desire to have a date with Jan	As Kendal did an effort to talk to Jan																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5be25a761439e31ec6b9	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5be25a761439e31ec6b9	958c3715f0caad248f07df6550187b63	APPROVED	2023-06-18T19:32:50.640	+	
																																																			
test	in_love		It perfectly describes what happened.		it is good reasoning. It is clear that things happened that way.		It's exactly what I thought when I was watching the end.		love_2	clean_home	Yes		Yes		Yes	eu.65689cf6-bb5c-48f2-a5c0-04e1de1cc0b9	Feeling in love, Positive emotions		it is much more interesting. and by doing something for her, she will feel more love for him.		For Kendall's actions of cleaning Jan's home, being loced.																							https://platform.toloka.ai/task/39728371/00025e34f3--648f5be308b5135b66fbcc5e	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5be308b5135b66fbcc5e	754e35bae1ec7f2ca89c326836a48978	APPROVED	2023-06-18T19:32:51.587	+	
																																																			
test	in_love	Being loved	Choosing an AI will help maintain a romantic relationship, which is what I'm trying to do		Generally agree, it will also be necessary to maintain the goal of rapprochement	the AI's thoughts on this choice are aimed at the same result				talk_to_Jan	Yes		Yes	Yes		eu.ea177f50-6fc5-4f81-bedf-a04c968b41cd	to develop romantic relationships between characters		to bring kendal and jan closer together	to maintain the primary objective																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5be3ad1f8e1e8e3fe192	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5be3ad1f8e1e8e3fe192	796463d075fa730cdb4638ca98c687a0	APPROVED	2023-06-18T19:32:51.039	+	
																																																			
test	in_love	Being loved	because the feeling of love was mutual between Kendall and Jan		The thought of talking to Jan came over to Kendall and he had to do it immediately	The feeling of being covered by Kendall indicates that Jan is cared for				talk_to_Jan	Yes		Yes	Yes		eu.bf8eb70b-d4ae-4cab-b03b-a2ec40ef964b	Kendal would feel in love after learning than Jan feels the same about him		Kendal will definitely talk to Jan over what had just came to his mind at that moment	Jan would feel loved and cared for																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5e759da3f310a140f64d	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5e759da3f310a140f64d	e517d5687eaabc2a9f73640b224568f9	APPROVED	2023-06-18T19:43:49.439	+	
																																																			
test	in_love		Love should be the first priority for Kendall if he really like Jan he should be in love.		 Kendall should do something practicallyto show Jan he is really into her so cleaning was the best way to do it.		Kendall is completely in love and will have good ending if he will stay honest with Jan and their love story will be awesome.		love_2	clean_home	Yes		no		Yes	eu.aa2a0072-f337-4688-b539-43938ca3618e	Good to start game with love that is a positive emotion.		I think it was adifferent option a bit unexpected one so I went for it.		I was already on love side and it will ended well because I chose love.																							https://platform.toloka.ai/task/39728371/00025e34f3--648f5f9f80636234aab99040	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5f9f80636234aab99040	60dc5719c4ce3daa9021a0c79ffd2cd1	APPROVED	2023-06-18T19:48:47.561	+	
																																																			
test	in_love	Being loved	because positive emotions are seen 		because thoughts indicated desire too	There are signs of Kendall trying to look after Jan				talk_to_Jan	Yes		Yes	Yes		eu.7b763485-d84f-4a74-95d9-dbd1c959b615	because there are signs of emotions towards Jan 		because its the natural reaction	because obviously she needs the attention and care																								https://platform.toloka.ai/task/39728371/00025e34f3--648f623379f1853cf1a87ef3	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f623379f1853cf1a87ef3	a45e6b7cd3f4908c871088958a6e6c6e	APPROVED	2023-06-18T19:59:47.629	+	
																																																			
test	in_love	Being loved	They were have a very friendly conversation and expressing their love and desires to be with each other. 		He had only the desires of talking to Jan more about his feelings and no expression of his intentions to go clean up Jan's home. 	They are lovers who have felt strong emotions between them and there was never an indication of Kendall trying to make Jan feel uncomfortable in any way. 				talk_to_Jan	Yes		Yes	Yes		eu.dc9a0f82-c178-422d-a89d-d9b9201b133a	Kendall would feel loved and appreciated because his feelings of love were mutually appreciated and understood by Jan		Kendall would want to talk more about his feelings to Jan after she left to go to her room. To see what her thoughts were on his expressions. 	They both share the same feelings as indicated in the game. They clearly expressed love to each other which is a very clear indication that they are lovers. 																								https://platform.toloka.ai/task/39728371/00025e34f3--648f644da1af7c7d84cde056	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f644da1af7c7d84cde056	54aede6c3ca3d3ca093628066076335c	APPROVED	2023-06-18T20:08:45.395	+	
																																																			
test	in_love	Being loved	they have positive emotions		he said he wanted to talk to jan	i chose it because its cute and lovely				talk_to_Jan	Yes		Yes	Yes		eu.d223fd30-9c48-4205-b34b-580b7e487380	he is inlove and happy so		I chose it because he wanted to talk to jan	because it is more preferred to me																								https://platform.toloka.ai/task/39728371/00025e34f3--648f675fce8f6852fb6b86f5	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f675fce8f6852fb6b86f5	455e3a2111dc76524e3e6243bdf37427	APPROVED	2023-06-18T20:21:51.782	+	
																																																			
test	in_love	Being loved	because the are perfect to each other		because Jan will feel Kendall's feelings about him	because the happiest thing in the world is to love and be loved				talk_to_Jan	Yes		Yes	Yes		eu.ba602b97-731a-48eb-b6e9-b21992049625	Because they grow up together		because she will feel comfortable talking to Jan	because I want a happy ending																								https://platform.toloka.ai/task/39728371/00025e34f3--648f69001958d1388cde121a	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f69001958d1388cde121a	96906820284cb013675fee9fdf1c868e	APPROVED	2023-06-18T20:28:48.317	+	
																																																			
test	in_love		This was amazing video me and my family like it very much. This combination was amazing and we like it		Cleaning to a home is good . 		There is no indication of detachment in the scenario; Kendall's thoughts and actions show a strong emotional connection and consideration for Jan's well-being		love_2	clean_home	Yes		Yes		no	eu.0f0db2c8-6971-4108-a010-81741c3ef3d0	Because this was Positive emotions, growth and message.It is good combination for all of us.		Cleaning is the Best . We should clean our homes and country as we seen.		"Kendle love to things Kendall's thoughts and the need to clean Jan's home. The focus is on wanting to talk to Jan, not engage in cleaning activities.
"																							https://platform.toloka.ai/task/39728371/00025e34f3--648f6db41b85d236d907b53d	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f6db41b85d236d907b53d	0489b83d93e0732d6866a93d5f439ea8	APPROVED	2023-06-18T20:48:52.337	+	
																																																			
test	in_love	Being loved	so nice.......................dddddddd		no....................................ddddddddddddddd	no..........ddddddddddddd				talk_to_Jan	Yes		Yes	Yes		eu.56418573-71c3-4919-ac87-9c26b2234143	I don't know..............................ddddddd		Because this is the truth ddddddddddddddd	Because this is the truth.............ddddddddddd																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5472245d52430e6935d3	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5472245d52430e6935d3	fe7940b7cb502ba69ecf9777578e71bf	REJECTED	2023-06-18T19:01:06.607	-	rationale inadequate
																																																			
test	in_love	Being loved	because they are agree each others		Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date.	Kendall's actions of trying to cover Jan with blankets may disturb her sleep, potentially making her feel ignored or bothered.				talk_to_Jan	Yes		Yes	Yes		eu.a2bcd6de-bca0-4acd-a937-a8bf47ffbe88	Positive emotions, growth, and deep connection indicate a strong romantic bond		Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date.	Kendall's actions of trying to make sure Jan stays warm indicate care and affection, suggesting love and concern for Jan's well-being while she sleeps.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5497d656784c3278556e	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5497d656784c3278556e	0c954cec2fd8884fff2ceeb41bd1b89d	REJECTED	2023-06-18T19:01:43.549	-	copied AI rationale
																																																			
test	in_love	Being ignored	"Updated	 1 day ago
Status	Released
Platforms	HTML5
Author	zoe4123190
"		"Updated	 1 day ago
Status	Released
Platforms	HTML5
Author	zoe4123190
"	"Updated	 1 day ago
Status	Released
Platforms	HTML5
Author	zoe4123190
"				talk_to_Jan	Yes		Yes	Yes		eu.5e32a9ee-1cc8-45a4-ae5f-83e0b9bf12b8	"Updated	 1 day ago
Status	Released
Platforms	HTML5
Author	zoe4123190
"		"Updated	 1 day ago
Status	Released
Platforms	HTML5
Author	zoe4123190
"	"Updated	 1 day ago
Status	Released
Platforms	HTML5
Author	zoe4123190
"																								https://platform.toloka.ai/task/39728371/00025e34f3--648f560d5a761439e31de521	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f560d5a761439e31de521	54f0c923ffa97a4c1b5408fe1ab784d3	REJECTED	2023-06-18T19:07:57.564	-	rationale incorrect
																																																			
test	in_love		they feel lovethey feel love		they feel lovethey feel love		they feel lovethey feel love		love_2	clean_home	no		Yes		Yes	eu.7f0e15ca-ad36-45c2-9ab8-6d3d97df9f4d	they feel lovethey feel love		they feel lovethey feel love		they feel lovethey feel love																							https://platform.toloka.ai/task/39728371/00025e34f3--648f5825eab89e4159ba2b86	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5825eab89e4159ba2b86	243f7fd89c87f357b98b0ec66753e583	REJECTED	2023-06-18T19:16:53.795	-	rationale inadequate
																																																			
test	Angry		I am so angry that I could flip this entire table over!	I am so angry that I could flip this entire table over!				Jan hospital			Yes	Yes				eu.7af9288c-10bf-4393-b4b5-a29230f660c1	I am so angry that I could flip this entire table over!	I am so angry that I could flip this entire table over!																										https://platform.toloka.ai/task/39728371/00025e34f3--648f589279f1853cf1a7db11	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f589279f1853cf1a7db11	97cc88c55291ad98775661f497a44947	REJECTED	2023-06-18T19:18:42.475	-	rationale inadequate
																																																			
test	in_love	Being loved	love between kendall and Jan		feeling of love between kendall and jan	feeling of love between kendall and jan				talk_to_Jan	Yes		Yes	Yes		eu.6b35b8f9-2b20-49be-be27-0e27a6c239ab	romance between kendall and Jan		feeling of love between kendall and jan	feeling of love between kendall and jan																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5cc758db6d22ce968987	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5cc758db6d22ce968987	4bee46c1fda4869e2f736b8563b94ec1	REJECTED	2023-06-18T19:36:39.096	-	rationale inadequate
																																																			
test	in_love	Being loved	Because Positive emotions, growth, and deep connection indicate a strong romantic bond.		Because Positive emotions, growth, and deep connection indicate a strong romantic bond.	Because Positive emotions, growth, and deep connection indicate a strong romantic bond.				talk_to_Jan	Yes		Yes	Yes		eu.3afcce38-f8ea-4024-a9e0-f95a510198c7	Because Positive emotions, growth, and deep connection indicate a strong romantic bond.		Because Positive emotions, growth, and deep connection indicate a strong romantic bond.	Because Positive emotions, growth, and deep connection indicate a strong romantic bond.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5d8580636234aab95aa4	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5d8580636234aab95aa4	f1afd674429979c4d0dc5aaf33284c64	REJECTED	2023-06-18T19:39:49.434	-	rationale inadequate
																																																			
test	in_love	Being loved	Positive emotions, growth, and deep connection indicate a strong romantic bond. 		Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date.	Kendall's actions of trying to make sure Jan stays warm indicate care and affection, suggesting love and concern for Jan's well-being while she sleeps.				talk_to_Jan	Yes		Yes	Yes		eu.5520baf9-c167-420d-94b5-3c88a1964061	"Positive emotions, growth, and deep connection indicate a strong romantic bond. 
"		Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date.	Kendall's actions of trying to make sure Jan stays warm indicate care and affection, suggesting love and concern for Jan's well-being while she sleeps.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5fa34616cb749c98fbef	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5fa34616cb749c98fbef	df6f31fee8f67855e664e5deae25218c	REJECTED	2023-06-18T19:48:51.614	-	rationale inadequate
																																																			
test	in_love	Being loved	Positive emotions, growth, and deep connection indicate a strong romantic bond		Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date.	Kendall's actions of trying to make sure Jan stays warm indicate care and affection, suggesting love and concern for Jan's well-being while she sleeps.				talk_to_Jan	Yes		Yes	Yes		eu.001d7130-5105-43fe-98fe-4874d79190c8	i want to find my love.....		wanted to meet the characters	associated with the desire to be loved																								https://platform.toloka.ai/task/39728371/00025e34f3--648f63681958d1388cdd854a	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f63681958d1388cdd854a	9e5fa8d8d947b6faa2f00dfc6fe642af	REJECTED	2023-06-18T20:04:56.600	-	rationale inadequate
																																																			
test	in_love	Being loved	Positive emotions, growth, and deep connection indicate a strong romantic bond. 		Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date.	" Being loved 
- Kendall's actions of trying to make sure Jan stays warm indicate care and affection, suggesting love and concern for Jan's well-being while she sleeps."				talk_to_Jan	Yes		Yes	Yes		eu.f71baee6-2e57-45ef-a7cd-658cef719101	Positive emotions, growth, and deep connection indicate a strong romantic bond. 		Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date.	 Kendall's actions of trying to make sure Jan stays warm indicate care and affection, suggesting love and concern for Jan's well-being while she sleeps.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f678c5a761439e320332b	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f678c5a761439e320332b	cebb186b8ff7e2b746b98088504650c5	REJECTED	2023-06-18T20:22:36.104	-	rationale inadequate
																																																			
test	in_love	Being loved	because what they say is true so I agree with your opinion		because what they say is true so I agree with your opinion	because what they say is true so I agree with your opinion				talk_to_Jan	Yes		no	Yes		eu.cb4a2797-f791-474e-9d76-1726573e0171	because they suit each other so well and they are in love with each other		because they suit each other so well and they are in love with each other	because they suit each other so well and they are in love with each other																								https://platform.toloka.ai/task/39728371/00025e34f3--648f688d5a761439e3205e8c	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f688d5a761439e3205e8c	eb6742ca98bd81cfc6175c579205517f	REJECTED	2023-06-18T20:26:53.239	-	rationale inadequate
																																																			
