INPUT:input	OUTPUT:answer	OUTPUT:rating	OUTPUT:feedback	OUTPUT:Skylar_do	OUTPUT:Skylar_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_show_up	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	OUTPUT:answer_Connect with the local team leader	GOLDEN:answer	GOLDEN:rating	GOLDEN:feedback	GOLDEN:Skylar_do	GOLDEN:Skylar_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_show_up	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	GOLDEN:answer_Connect with the local team leader	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
test	show_up	8.0	--------------------------------------------		Furious	-----------------------------------------------------		-------------------------------------------------------------	-------------------------------------------------------------------		embarrassed	Yes		no	Yes		eu.24198a69-210a-4112-8c9a-156ab25847d7	-------------------------------------		-----------------------------------------------------------	--------------------------------------------------------------																											https://platform.toloka.ai/task/39734356/00025e4c54--648fe7ec80e07a75fd921b0a	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fe7ec80e07a75fd921b0a	79dc8021f62893abddc1686e686d555b	REJECTED	2023-06-19T05:30:20.818	-	rationale inadequate
																																																							
test	show_up	1.0	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.		Furious	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.		Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.		embarrassed	Yes		Yes	Yes		eu.298db09f-c510-43c5-9271-08b2061a8e04	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.		Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.																											https://platform.toloka.ai/task/39734356/00025e4c54--648fe7f880636234aac33702	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fe7f880636234aac33702	7e04700798fce0589ef2cd858f9068e0	REJECTED	2023-06-19T05:30:32.520	-	inadequate
																																																							
test	show_up	1.0	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""		Furious	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""		"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""		embarrassed	Yes		Yes	Yes		eu.7358b952-bb91-403b-8be4-1487d695d4b6	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""		"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""																											https://platform.toloka.ai/task/39734356/00025e4c54--648fe880ce8f6852fb760a47	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fe880ce8f6852fb760a47	fa06c82e4cc82ce668730e358dfeb602	REJECTED	2023-06-19T05:32:48.918	-	inadequate
																																																							
test	Connect with the local team leader	9.0	I think the graphics and sound are pretty good. Storyline is also quite good. Nice game.			It is a better decision, so as to know if there is vacancy for a new player.	The team leader needed financial support and therefore it is better to help. Make friends rather than enemies.					Yes	Yes				eu.8bda1f83-8245-4d26-9964-1386b0326520	It is a better decision, so as to know if there is vacancy for a new player.	The team leader needed financial support and therefore it is better to help. Make friends rather than enemies.				surprised																									https://platform.toloka.ai/task/39734356/00025e4c54--648fe99208b5135b6609a764	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fe99208b5135b6609a764	9e6adddc7e29cb8a5a21a0896e0c5bbc	REJECTED	2023-06-19T05:37:22.318	-	inadequate
																																																							
test	Connect with the local team leader	10.0	it's my first time to know this game but I liket it.			"- Skylar's intention to join the local soccer team may involve reaching out and connecting with the team leader to inquire about joining and gather more information before attending practice.
"	"If she really wants something, she has to pay for it. There is no problem with that, and in order for the coach to do his job, he must be paid for it like any job
"					no	Yes				eu.7fad3579-5615-490f-9ba0-c3379a76047c	"- Skylar's intention to join the local soccer team may involve reaching out and connecting with the team leader to inquire about joining and gather more information before attending practice.
"	"If she really wants something, she has to pay for it. There is no problem with that, and in order for the coach to do his job, he must be paid for it like any job
"				surprised																									https://platform.toloka.ai/task/39734356/00025e4c54--648febcbd7c375249d44f2e6	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648febcbd7c375249d44f2e6	a63a444bdea49acfc63ca60b0a978c96	REJECTED	2023-06-19T05:46:51.841	-	inadequate
																																																							
test	show_up	8.0	No I think it is good. 	elated		Skylar's intention to join the local soccer team may involve reaching out and connecting with the team leader to inquire about joining and gather more information before attending practice.		While the team members' initial reaction is unclear, Skylar's excitement and eagerness to join the team may contribute to a sense of confidence in expressing their interest.		Despite feeling confident initially, Skylar may still experience some nervousness or pressure about performing well and proving their skills to the team.	confident	Yes		Yes		Yes	eu.05b4eddc-dacd-4095-bf22-6e8b9d53aa83	Because skylars desire to make playing soccer with more interest.		While the team members' initial reaction is unclear, Skylar's excitement and eagerness to join the team.		Because the positive response from the team leader and their invitation to showcase skills.																										https://platform.toloka.ai/task/39734356/00025e4c54--648febcf5a761439e32d5fb3	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648febcf5a761439e32d5fb3	0489b83d93e0732d6866a93d5f439ea8	REJECTED	2023-06-19T05:46:55.531	-	copied AI rationale
																																																							
test	show_up	1.0	Yaush		Feel inferior	Bsjsj jsjsbebusbs sjsjusbs sugdbs d sbus s h		Bsjsja sjis sus sisgs sjaya s jsgs snj	Bsjsj wjbwhshshs ahsuhshs sisusb sjaishs sjsuvs s		embarrassed	Yes		Yes	Yes		eu.9b657f64-e0f4-4844-9c83-658aecfc61fd	Gshsh hshshshbs s jsjsus sjshbsbsnsjsuehsnd shueb		Zbjsj shusgsbsjs shhsbshshs hshs sus sj sus sj	Bsjsj sjjwusush sis sus sis iss ias nsis 																											https://platform.toloka.ai/task/39734356/00025e4c54--648fec254616cb749c9fdc7e	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fec254616cb749c9fdc7e	80186a88bc7b9c38d691020ce6d4c3f8	REJECTED	2023-06-19T05:48:21.586	-	inadequate
																																																							
test	show_up	9.0	welldone	elated		i am agree with the AI perspective the skylar should play soccer for the local team and it is only possible if he has good skills in soccer. For getting good skills he should practice more and more. Other wise there is not any option for his selection the local team		i am agree with the AI perspective the skylar should be shown his confidence because the initial reaction from the team leader and team mates is unclear. If there is he will not show his confidence he will be rejected by the team mates. So the confidence is the key of success.		He should feel being elated for the team because the team leader and the team mates shows confidence and gave him importance which is very important for him. He could feel that he will elated for the team. The all members believe on his skills which is good for him.	confident	Yes		Yes		Yes	eu.5dcb7ec2-8103-4b0f-9da4-d12ce82343e7	He should Practice daily so that he can improve his skill and become more effective player for the team. So his team can perform much better and he will become the precious assets of the team. If he will not very well skilled, he will be kicked out from the team.		He should feel confident because if he will not show his confidence the team leader will ignore him. If he will show his confidence then it will become easy for team leader and team mates to take him in the team and give responsibility that will make him more effective for the team.		He should feel being elated for the team because the team leader and the team mates shows confidence and gave him importance which is very important for him. He could feel that he will elated for the team. The all members believe on his skills which is good for him.																										https://platform.toloka.ai/task/39734356/00025e4c54--648fec5f80e07a75fd92b5a1	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fec5f80e07a75fd92b5a1	5b50f883caf32ec7af614496a9565471	REJECTED	2023-06-19T05:49:19.781	-	inadequate
																																																							
test	Connect with the local team leader	5.0	i think its not good for the team leader to ask for financial assistant from new members 			because it shows Skylar intentions to join the soccer team	it shows how Skylar was surprised by the team leader request to pay some money					Yes	Yes				eu.e590682e-b1f8-4399-b8f5-d28d773130e5	"Skylar's intention to join the local soccer team may involve reaching out and connecting with the team leader to inquire about joining and gather more information before attending practice.
 "	 Skylar may feel conflicted and consider paying to join the team despite being surprised by the request.				surprised																									https://platform.toloka.ai/task/39734356/00025e4c54--648ff43b58db6d22cea562cd	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648ff43b58db6d22cea562cd	4c53cf1072c88f9887bcc649eb184095	REJECTED	2023-06-19T06:22:51.538	-	"copied AI rationale
"
																																																							
test	Connect with the local team leader	10.0	Good one. 			"A. Show up in practice directly - If she would had come to practise daily, maybe others could have invite her to join them after seeing her enthusiasm. 

B. Connect with the local team leader - As Skylar was not happy playing alone, it would had been good for her to join the local team by connecting with the local team leader who had helped him to connect. "	"A) Surprised, but still consider paying the money - As she was eager to join the local team, so she thought of compromising a bit.

B) Angry, and decide to report the team leader for bribery - As, it was against her moral values and fair play of the game & sportsmanship. 
"					Yes	Yes				eu.112920b0-75d7-4885-a721-9176de0037d1	As Skylar was not happy playing alone, it would had been good for her to join the local team by connecting with the local team leader who had helped him to connect. 	As, it was against her moral values. 				report_bribery																									https://platform.toloka.ai/task/39734356/00025e4c54--648ff536ad1f8e1e8e4c5f44	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648ff536ad1f8e1e8e4c5f44	3ee6d481289d933921161f810e090718	REJECTED	2023-06-19T06:27:02.756	-	copied AI rationale
																																																							
test	show_up	8.0	i like her style 	Experience nervousness about showcasing his abilities		may be she changed her action		may be she changed her action		may be she changed her action	confident	no		no		no	eu.bdd02872-90e8-459d-87df-27b3d69cd417	Because she holds something on her hands		she look like confident person		she look like confident person																										https://platform.toloka.ai/task/39734356/00025e4c54--648ff55e9da3f310a14afe54	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648ff55e9da3f310a14afe54	f5a17279442eed2519f3c712e617ff2c	REJECTED	2023-06-19T06:27:42.034	-	rationale inadequate
																																																							
test	Connect with the local team leader	10.0	good Experience 			Skylar's intention to join the local soccer team involve reaching out and connecting with the team leader to inquire about joining	"bribery 
- Skylar's reaction may be one of anger, feeling that the team leader's request for financial support"					Yes	Yes				eu.25e5d350-5613-4b4d-8c41-4a14c8a17633	Because he is expert in soccer	involve reaching out and connecting with the team leader to inquire about joining				surprised																									https://platform.toloka.ai/task/39734356/00025e4c54--648ffb03245d52430e73b30c	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648ffb03245d52430e73b30c	e1e66358e8751fcb5fd02c2fe46115b3	REJECTED	2023-06-19T06:51:47.760	-	copied AI rationale
																																																							
test	Connect with the local team leader	6.0	it was a little simple			I think A and B are good options	I think A and B are good options					Yes	Yes				eu.6b70fb6f-1293-49ea-a4bf-b02e30d4b8c9	she is boring, so she need activite	she can have a good time for some payment				surprised																									https://platform.toloka.ai/task/39734356/00025e4c54--648ff93f79f1853cf1b084c4	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648ff93f79f1853cf1b084c4	51c1a4b90d1121c9e2b052896226136d	SUBMITTED	2023-06-19T06:44:15.055		
																																																							
test	show_up	9.0	Amazing 	elated		Team member connecting with the team leader to inquire about joining and gather more information before attending practice.		Team member connecting with the team leader to inquire about joining and gather more information before attending practice.		Team memberconnecting with the team leader to inquire about joining and gather more information before attending practice.	confident	no		no		no	eu.27291531-364d-4842-823d-3c693e37a8f9	Play directly connecting with the team leader to inquire about joining and gather more information before attending practice.		Excited to join teamconnecting with the team leader to inquire about joining and gather more information before attending practice.		Positive response connecting with the team leader to inquire about joining and gather more information before attending practice.																										https://platform.toloka.ai/task/39734356/00025e4c54--648ffbf5245d52430e73cb58	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648ffbf5245d52430e73cb58	9b34ac6f1ea62b425604975783ed94ad	SUBMITTED	2023-06-19T06:55:49.489		
																																																							
